date,P_mix,T_max,T_min,Q
1987-01-08,0.0,-8.5,-15.7,0.811827173347215
1987-01-09,0.0,-0.6,-15.6,0.7488599687662676
1987-01-10,4.9,-1.5,-6.2,0.7758459135866737
1987-01-11,2.8,-9.3,-18.9,0.7466111400312337
1987-01-12,0.0,-11.1,-27.3,0.6948880791254554
1987-01-13,0.0,-2.0,-22.6,0.8298178032274857
1987-01-14,0.0,4.5,-7.0,0.7466111400312337
1987-01-15,0.6,-7.5,-14.0,0.7331181676210307
1987-01-16,0.0,-2.7,-14.0,0.6926392503904217
1987-01-17,0.0,-1.6,-9.0,0.6544091618948467
1987-01-18,0.0,-4.0,-10.6,0.6521603331598126
1987-01-19,0.0,4.1,-9.3,0.6454138469547113
1987-01-20,0.0,2.6,-7.6,0.6296720458094743
1987-01-21,0.0,1.7,-5.7,0.6139302446642374
1987-01-22,0.0,2.0,-5.7,0.6071837584591359
1987-01-23,0.0,3.8,-5.2,0.604934929724102
1987-01-24,0.0,1.6,-4.8,0.6094325871941697
1987-01-25,0.0,4.4,-5.2,0.6184279021343051
1987-01-26,0.0,3.0,-5.1,0.6364185320145758
1987-01-27,8.9,2.9,-5.3,0.6723997917751171
1987-01-28,20.4,-0.2,-2.2,0.7083810515356586
1987-01-29,0.0,-1.5,-8.7,0.7466111400312337
1987-01-30,0.0,0.0,-12.5,0.6858927641853202
1987-01-31,0.0,2.4,-12.7,0.6229255596043728
1987-02-01,0.0,2.9,-7.5,0.6319208745445082
1987-02-02,0.0,4.5,-7.3,0.6319208745445082
1987-02-03,0.0,4.0,-4.2,0.6409161894846434
1987-02-04,0.0,3.6,-5.0,0.634169703279542
1987-02-05,0.0,4.0,-4.7,0.6296720458094743
1987-02-06,0.3,4.4,-4.9,0.6296720458094743
1987-02-07,6.8,1.9,-2.0,0.6476626756897448
1987-02-08,0.0,6.1,-3.0,0.6634044768349818
1987-02-09,0.0,9.3,-2.6,0.6813951067152524
1987-02-10,1.7,3.0,-1.0,0.7398646538261322
1987-02-11,0.0,4.3,-3.0,0.7241228526808956
1987-02-12,6.0,4.0,-0.3,0.7241228526808956
1987-02-13,0.2,-1.3,-3.8,0.742113482561166
1987-02-14,2.4,2.1,-5.6,0.7038833940655906
1987-02-15,7.4,-2.6,-4.7,0.7083810515356586
1987-02-16,8.5,-5.0,-7.9,0.6768974492451848
1987-02-17,7.9,-6.1,-9.5,0.6656533055700156
1987-02-18,6.5,-7.0,-11.2,0.661155648099948
1987-02-19,0.6,-7.0,-13.0,0.6521603331598126
1987-02-20,0.0,-7.4,-11.2,0.6431650182196772
1987-02-21,0.7,-3.9,-9.3,0.6364185320145758
1987-02-22,0.5,-4.9,-11.5,0.6296720458094743
1987-02-23,0.0,-2.2,-11.7,0.6184279021343051
1987-02-24,0.0,-0.8,-10.4,0.6116814159292037
1987-02-25,0.0,4.2,-7.0,0.6206767308693389
1987-02-26,2.6,1.0,-4.8,0.6319208745445082
1987-02-27,36.7,3.1,-2.0,0.6858927641853202
1987-02-28,29.3,1.0,-0.7,2.0734200937011975
1987-03-01,8.1,4.9,-0.7,2.4961998958875586
1987-03-02,16.2,5.1,0.3,2.878500780843311
1987-03-03,3.5,-4.5,-8.5,2.766059344091619
1987-03-04,8.2,-4.7,-12.7,1.65288912024987
1987-03-05,0.4,-5.0,-18.9,1.3268089536699637
1987-03-06,0.0,-5.4,-14.2,1.1221655387818847
1987-03-07,0.0,-3.0,-13.4,1.0029776158250914
1987-03-08,0.0,1.8,-10.5,0.9624986985944821
